"code","uri","label","definition","label_en","std_abb"
"10","","MISCELLANEOUS Gears","","MISCELLANEOUS Gears","-"
"10.1","https://www.fao.org/fishery/en/geartype/237","Harpoons","","Harpoons","HAR"
"10.2","https://www.fao.org/fishery/en/geartype/315","Hand implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)","","Hand implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)","MHI"
"10.3","https://www.fao.org/fishery/en/geartype/238","Pumps","","Pumps","MPM"
"10.4","https://www.fao.org/fishery/en/geartype/242","Electric fishing","","Electric fishing","MEL"
"10.5","https://www.fao.org/fishery/en/geartype/253","Pushnets","","Pushnets","MPN"
"10.6","https://www.fao.org/fishery/en/geartype/254","Scoopnets","","Scoopnets","MSP"
"10.7","https://www.fao.org/fishery/en/geartype/325","Drive-in nets","","Drive-in nets","MDR"
"10.8","https://www.fao.org/fishery/en/geartype/326","Diving","","Diving","MDV"
"10.9","https://www.fao.org/fishery/en/geartype/112","Gear nei","","Gear nei","MIS"
"99","https://www.fao.org/fishery/en/geartype/244","GEAR NOT KNOWN","","GEAR NOT KNOWN","-"
"99.9","https://www.fao.org/fishery/en/geartype/245","Gear not known","","Gear not known","NK"
"01","https://www.fao.org/fishery/en/geartype/101","SURROUNDING NETS","","SURROUNDING NETS","-"
"01.1","https://www.fao.org/fishery/en/geartype/249","Purse seines","","Purse seines","PS"
"01.2","https://www.fao.org/fishery/en/geartype/201","Surrounding nets without purse lines","","Surrounding nets without purse lines","LA"
"01.9","https://www.fao.org/fishery/en/geartype/111","Surrounding nets (nei)","","Surrounding nets (nei)","SUX"
"02","https://www.fao.org/fishery/en/geartype/102","SEINE NETS","","SEINE NETS","-"
"02.1","https://www.fao.org/fishery/en/geartype/202","Beach seines","","Beach seines","SB"
"02.2","https://www.fao.org/fishery/en/geartype/203","Boat seines","","Boat seines","SV"
"02.9","https://www.fao.org/fishery/en/geartype/204","Seine nets nei","","Seine nets nei","SX"
"03","https://www.fao.org/fishery/en/geartype/103","TRAWLS","","TRAWLS","-"
"03.11","https://www.fao.org/fishery/en/geartype/305","Beam trawls","","Beam trawls","TBB"
"03.12","https://www.fao.org/fishery/en/geartype/306","Single boat bottom otter trawls","","Single boat bottom otter trawls","OTB"
"03.13","https://www.fao.org/fishery/en/geartype/208","Twin bottom otter trawls","","Twin bottom otter trawls","OTT"
"03.14","https://www.fao.org/fishery/en/geartype/209","Multiple bottom otter trawls","","Multiple bottom otter trawls","OTP"
"03.15","https://www.fao.org/fishery/en/geartype/307","Bottom pair trawls","","Bottom pair trawls","PTB"
"03.19","https://www.fao.org/fishery/en/geartype/206","Bottom trawls (nei)","","Bottom trawls (nei)","TB"
"03.21","https://www.fao.org/fishery/en/geartype/309","Single boat midwater otter trawls","","Single boat midwater otter trawls","OTM"
"03.22","https://www.fao.org/fishery/en/geartype/310","Midwater pair trawls","","Midwater pair trawls","PTM"
"03.29","https://www.fao.org/fishery/en/geartype/400","Midwater trawls (nei)","","Midwater trawls (nei)","TM"
"03.3","https://www.fao.org/fishery/en/geartype/210","Semipelagic trawls","","Semipelagic trawls","TSP"
"03.9","https://www.fao.org/fishery/en/geartype/211","Trawls (nei)","","Trawls (nei)","TX"
"04","https://www.fao.org/fishery/en/geartype/104","DREDGES","","DREDGES","-"
"04.1","https://www.fao.org/fishery/en/geartype/212","Towed dredges","","Towed dredges","DRB"
"04.2","https://www.fao.org/fishery/en/geartype/213","Hand dredges","","Hand dredges","DRH"
"04.3","https://www.fao.org/fishery/en/geartype/239","Mechanized dredges","","Mechanized dredges","DRM"
"04.9","https://www.fao.org/fishery/en/geartype/240","Dredges (nei)","","Dredges (nei)","DRX"
"05","https://www.fao.org/fishery/en/geartype/105","LIFT NETS","","LIFT NETS","-"
"05.1","https://www.fao.org/fishery/en/geartype/214","Portable lift nets","","Portable lift nets","LNP"
"05.2","https://www.fao.org/fishery/en/geartype/215","Boat-operated lift nets","","Boat-operated lift nets","LNB"
"05.3","https://www.fao.org/fishery/en/geartype/255","Shore-operated stationary lift nets","","Shore-operated stationary lift nets","LNS"
"05.9","https://www.fao.org/fishery/en/geartype/216","Lift nets (nei)","","Lift nets (nei)","LN"
"06","https://www.fao.org/fishery/en/geartype/106","FALLING GEAR","","FALLING GEAR","-"
"06.1","https://www.fao.org/fishery/en/geartype/217","Cast nets","","Cast nets","FCN"
"06.2","https://www.fao.org/fishery/en/geartype/218","Cover pots/Lantern nets","","Cover pots/Lantern nets","FCO"
"06.9","https://www.fao.org/fishery/en/geartype/440","Falling gear (nei)","","Falling gear (nei)","FG"
"07","https://www.fao.org/fishery/en/geartype/107","GILLNETS AND ENTANGLING NETS","","GILLNETS AND ENTANGLING NETS","-"
"07.1","https://www.fao.org/fishery/en/geartype/219","Set (anchored) gillnets","","Set (anchored) gillnets","GNS"
"07.2","https://www.fao.org/fishery/en/geartype/220","Drift gillnets","","Drift gillnets","GND"
"07.3","https://www.fao.org/fishery/en/geartype/221","Encircling gillnets","","Encircling gillnets","GNC"
"07.4","https://www.fao.org/fishery/en/geartype/247","Fixed (on stakes) gillnets","","Fixed (on stakes) gillnets","GNF"
"07.5","https://www.fao.org/fishery/en/geartype/223","Trammel nets","","Trammel nets","GTR"
"07.6","https://www.fao.org/fishery/en/geartype/252","Combined gillnets-trammel nets","","Combined gillnets-trammel nets","GTN"
"07.9","https://www.fao.org/fishery/en/geartype/224","Gillnets and entangling nets (nei)","","Gillnets and entangling nets (nei)","GEN"
"08","https://www.fao.org/fishery/en/geartype/108","TRAPS","","TRAPS","-"
"08.1","https://www.fao.org/fishery/en/geartype/246","Stationary uncovered pound nets","","Stationary uncovered pound nets","FPN"
"08.2","https://www.fao.org/fishery/en/geartype/225","Pots","","Pots","FPO"
"08.3","https://www.fao.org/fishery/en/geartype/226","Fyke nets","","Fyke nets","FYK"
"08.4","https://www.fao.org/fishery/en/geartype/227","Stow nets","","Stow nets","FSN"
"08.5","https://www.fao.org/fishery/en/geartype/228","Barriers, fences, weirs, etc,","","Barriers, fences, weirs, etc,","FWR"
"08.6","https://www.fao.org/fishery/en/geartype/229","Aerial traps","","Aerial traps","FAR"
"08.9","https://www.fao.org/fishery/en/geartype/230","Traps (nei)","","Traps (nei)","FIX"
"09","https://www.fao.org/fishery/en/geartype/109","HOOKS AND LINES","","HOOKS AND LINES","-"
"09.1","https://www.fao.org/fishery/en/geartype/248","Handlines and hand-operated pole-and-lines","","Handlines and hand-operated pole-and-lines","LHP"
"09.2","https://www.fao.org/fishery/en/geartype/313","Mechanized lines and pole-and-lines","","Mechanized lines and pole-and-lines","LHM"
"09.31","https://www.fao.org/fishery/en/geartype/232","Set longlines","","Set longlines","LLS"
"09.32","https://www.fao.org/fishery/en/geartype/233","Drifting longlines","","Drifting longlines","LLD"
"09.39","https://www.fao.org/fishery/en/geartype/234","Longlines (nei)","","Longlines (nei)","LL"
"09.4","https://www.fao.org/fishery/en/geartype/231","Vertical lines","","Vertical lines","LVT"
"09.5","https://www.fao.org/fishery/en/geartype/235","Trolling lines","","Trolling lines","LTL"
"09.9","https://www.fao.org/fishery/en/geartype/236","Hooks and lines (nei)","","Hooks and lines (nei)","LX"
