code,label,spgroup_french,spgroup_espanol
TUNTROP,Tropical tunas,Thons tropicaux,Atunes tropicales
TUNTEMP,Temperate tunas,Thons tempérés,Túnidos templados
TUNOTH,Tuna and tuna-like species mix / unknown,Thons et espèces de thonidés / inconnu,Atunes / desconocido
SPMA,Spanish mackerels,Maquereaux espagnol,Caballas españolas
SHK,Sharks,Requins,Tiburones
OTHER,Other/unknown/mix of species,Autres espèces ou espèces inconnues,Otras especies o desconocidas
BONMACK,Bonitos and mackerels,Bonites et maquereaux,Bonitos y caballas
BILLFIS,Billfishes,Marlins,Marlines
CEPHALO,Cephalopods,Cephalopodes,Cefalópodos
TUNNER,Neritic tunas,Thons néritiques,Atunes neríticos
BOFOT,Other bony fishes,Autres poissons osseux,Otros peces óseos
SCOOT,Other scombrids,Autres scombridés,Otros escómbridos
RAYS,Rays,Raies,Rayas
CETAC,Cetaceans,Cétacés,Cetaceos
BIRDS,Seabirds,Oiseaux marins,Aves marinas
TURT,Turtles,Tortues marines,Tortugas marinas
