"src_code","trg_code","src_codingsystem","trg_codingsystem"
"BB","09.2","gear_iccat","isscfg_revision_1"
"BBALB","09.2","gear_iccat","isscfg_revision_1"
"BBF","09.2","gear_iccat","isscfg_revision_1"
"BBI","09.2","gear_iccat","isscfg_revision_1"
"BLL","09.39","gear_iccat","isscfg_revision_1"
"GILD","07.9","gear_iccat","isscfg_revision_1"
"GILL","07.2","gear_iccat","isscfg_revision_1"
"GILLALB","07.9","gear_iccat","isscfg_revision_1"
"GILLM","07.2","gear_iccat","isscfg_revision_1"
"GILLSWO","07.9","gear_iccat","isscfg_revision_1"
"HAND","09.1","gear_iccat","isscfg_revision_1"
"HARP","10.1","gear_iccat","isscfg_revision_1"
"HARPE","10.1","gear_iccat","isscfg_revision_1"
"HP-E","10.1","gear_iccat","isscfg_revision_1"
"HS","02.1","gear_iccat","isscfg_revision_1"
"LL","09.39","gear_iccat","isscfg_revision_1"
"LL-B","09.39","gear_iccat","isscfg_revision_1"
"LL-Shrk","09.39","gear_iccat","isscfg_revision_1"
"LL-deri","09.32","gear_iccat","isscfg_revision_1"
"LL-surf","09.39","gear_iccat","isscfg_revision_1"
"LLALB","09.39","gear_iccat","isscfg_revision_1"
"LLBFT","09.39","gear_iccat","isscfg_revision_1"
"LLD","09.39","gear_iccat","isscfg_revision_1"
"LLFB","09.39","gear_iccat","isscfg_revision_1"
"LLHB","09.39","gear_iccat","isscfg_revision_1"
"LLJAP","09.39","gear_iccat","isscfg_revision_1"
"LLMB","09.39","gear_iccat","isscfg_revision_1"
"LLPB","09.39","gear_iccat","isscfg_revision_1"
"LLSWO","09.39","gear_iccat","isscfg_revision_1"
"MWT","03.29","gear_iccat","isscfg_revision_1"
"MWTD","03.22","gear_iccat","isscfg_revision_1"
"OTH","10.9","gear_iccat","isscfg_revision_1"
"PS","01.1","gear_iccat","isscfg_revision_1"
"PSD","01.1","gear_iccat","isscfg_revision_1"
"PSFB","01.1","gear_iccat","isscfg_revision_1"
"PSFS","01.1","gear_iccat","isscfg_revision_1"
"PSG","01.1","gear_iccat","isscfg_revision_1"
"PSLB","01.1","gear_iccat","isscfg_revision_1"
"PSM","01.1","gear_iccat","isscfg_revision_1"
"PSS","01.1","gear_iccat","isscfg_revision_1"
"RR","10.9","gear_iccat","isscfg_revision_1"
"RRD","10.9","gear_iccat","isscfg_revision_1"
"RRFB","10.9","gear_iccat","isscfg_revision_1"
"RRFS","10.9","gear_iccat","isscfg_revision_1"
"RRSD","10.9","gear_iccat","isscfg_revision_1"
"SPHL","10.9","gear_iccat","isscfg_revision_1"
"SPOR","10.9","gear_iccat","isscfg_revision_1"
"SURF","10.9","gear_iccat","isscfg_revision_1"
"TL","10.9","gear_iccat","isscfg_revision_1"
"TLD","10.9","gear_iccat","isscfg_revision_1"
"TN","07.5","gear_iccat","isscfg_revision_1"
"TRAP","08.9","gear_iccat","isscfg_revision_1"
"TRAP-S","08.6","gear_iccat","isscfg_revision_1"
"TRAPM","08.6","gear_iccat","isscfg_revision_1"
"TRAW","03.9","gear_iccat","isscfg_revision_1"
"TRAWP","03.29","gear_iccat","isscfg_revision_1"
"TRAWPP","03.22","gear_iccat","isscfg_revision_1"
"TRBD","10.9","gear_iccat","isscfg_revision_1"
"TROL","09.5","gear_iccat","isscfg_revision_1"
"UNCD","10.9","gear_iccat","isscfg_revision_1"
"TRAWB","03.9","gear_iccat","isscfg_revision_1"
"UNCL","99.9","gear_iccat","isscfg_revision_1"
